,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,sur,OM,22.5667,59.5289,90.59,59,97,9.15,overcast clouds
174,sotouboua,TG,8.5667,0.9833,75.07,91,83,2.39,light rain
175,tura,IN,25.5198,90.2201,77.25,88,2,2.98,clear sky
176,simao,CN,22.7886,100.9748,72.72,74,100,1.63,overcast clouds
177,cumana,VE,10.4635,-64.1775,81.81,66,4,6.13,clear sky
178,kulhudhuffushi,MV,6.6221,73.07,82.33,81,86,15.1,overcast clouds
179,mykolayivka,UA,47.5414,30.7561,77.25,41,48,5.3,scattered clouds
180,sao gabriel da cachoeira,BR,-0.1303,-67.0892,85.8,74,40,4.61,scattered clouds
181,iracoubo,GF,5.4802,-53.2011,81.28,83,56,8.7,broken clouds
182,bathsheba,BB,13.2167,-59.5167,86.61,84,40,18.41,scattered clouds
183,namibe,AO,-15.1961,12.1522,64.99,88,33,7.05,scattered clouds
184,aspe,ES,38.3451,-0.7672,88.9,49,0,6.91,clear sky
185,puerto ayora,EC,-0.7393,-90.3518,76.96,90,82,8.99,broken clouds
186,cayenne,GF,4.9333,-52.3333,86.04,1,75,9.22,broken clouds
187,kutum,SD,14.2,24.6667,82.76,44,87,7.81,overcast clouds
188,fuerte olimpo,PY,-21.0415,-57.8738,95.86,19,74,16.62,broken clouds
189,petatlan,MX,17.5167,-101.2667,91.2,48,100,6.31,overcast clouds
190,kuching,MY,1.55,110.3333,75.42,100,40,0.0,scattered clouds
191,saint-joseph,RE,-21.3667,55.6167,68.38,80,58,9.66,light rain
192,nanchang,CN,28.6833,115.8833,85.48,71,100,4.7,overcast clouds
193,houma,US,29.5958,-90.7195,93.99,68,75,10.36,broken clouds
194,bilma,NE,18.6853,12.9164,99.73,13,11,6.91,few clouds
195,port alfred,ZA,-33.5906,26.891,55.18,77,50,3.0,scattered clouds
196,hithadhoo,MV,-0.6,73.0833,83.53,74,100,15.14,overcast clouds
197,dudinka,RU,69.4058,86.1778,54.63,76,88,7.9,overcast clouds
198,marsa matruh,EG,31.3525,27.2453,80.8,65,0,13.8,clear sky
199,vardo,NO,70.3705,31.1107,53.58,94,75,4.61,light intensity shower rain
200,port lincoln,AU,-34.7333,135.8667,49.86,67,27,11.1,scattered clouds
201,le moule,GP,16.3332,-61.3473,85.17,100,100,8.99,overcast clouds
202,san luis,AR,-33.295,-66.3356,54.88,33,0,13.29,clear sky
203,fortuna,US,40.5982,-124.1573,57.65,92,75,7.9,broken clouds
204,hasaki,JP,35.7333,140.8333,73.8,92,100,8.25,light rain
205,fiche,ET,9.8,38.7333,54.1,85,100,2.86,light rain
206,uruguaiana,BR,-29.7547,-57.0883,64.33,94,100,10.36,thunderstorm with light rain
207,varberg,SE,57.1056,12.2508,62.24,67,80,24.52,broken clouds
208,toba,JP,34.4833,136.85,77.0,89,72,5.57,broken clouds
209,lompoc,US,34.6391,-120.4579,68.14,90,100,3.44,mist
210,ribeira grande,PT,38.5167,-28.7,75.6,78,40,19.57,scattered clouds
211,kouqian,CN,43.6391,126.4578,64.4,98,100,3.85,overcast clouds
212,fomboni,KM,-12.28,43.7425,76.93,74,23,13.29,few clouds
213,paciran,ID,-6.8767,112.3761,78.24,86,98,8.32,overcast clouds
214,svetlogorsk,BY,52.6333,29.7333,61.21,79,2,7.38,clear sky
215,gabu,GW,12.2833,-14.2167,82.56,81,100,6.31,light rain
216,harper,LR,4.375,-7.7169,76.64,78,100,8.75,overcast clouds
217,tabas,IR,33.5959,56.9244,90.79,14,0,16.26,clear sky
218,dunedin,NZ,-45.8742,170.5036,43.81,74,66,15.01,broken clouds
219,canberra,AU,-35.2835,149.1281,32.45,93,0,5.75,clear sky
220,kruisfontein,ZA,-34.0033,24.7314,54.88,87,23,8.95,light rain
221,bam,IR,29.106,58.357,87.55,12,0,10.18,clear sky
222,warri,NG,5.5167,5.75,75.2,89,79,6.35,light rain
223,panaba,MX,21.2833,-88.2667,94.8,37,100,10.98,overcast clouds
224,laguna,US,38.421,-121.4238,90.97,58,0,4.61,clear sky
225,san pedro,PH,14.35,121.0167,81.63,90,20,3.44,few clouds
226,paracuru,BR,-3.41,-39.0306,81.1,65,49,14.23,scattered clouds
227,college,US,64.8569,-147.8028,57.47,50,75,6.91,smoke
228,kinablangan,PH,7.6947,126.5503,78.71,83,93,5.08,overcast clouds
229,husavik,IS,66.0449,-17.3389,49.35,80,53,6.71,broken clouds
230,lokosovo,RU,61.1333,74.8167,57.72,92,100,3.8,overcast clouds
231,atar,MR,20.5169,-13.0499,106.66,17,14,12.03,few clouds
232,paragominas,BR,-2.9667,-47.4833,85.87,60,51,4.7,broken clouds
233,isangel,VU,-19.55,169.2667,74.19,88,40,6.67,scattered clouds
234,filingue,NE,14.3521,3.3168,98.83,31,3,6.2,clear sky
235,kieta,PG,-6.2167,155.6333,77.63,85,87,4.9,overcast clouds
236,porto walter,BR,-8.2686,-72.7439,92.17,41,73,4.12,light rain
237,camacha,PT,33.0833,-16.3333,71.02,73,40,10.36,scattered clouds
238,celestun,MX,20.8667,-90.4,90.16,53,100,4.43,overcast clouds
239,najran,SA,17.4924,44.1277,92.05,14,100,4.05,overcast clouds
240,waris aliganj,IN,25.0167,85.6333,89.8,58,49,11.3,scattered clouds
241,salalah,OM,17.0151,54.0924,78.89,94,75,4.61,broken clouds
242,broome,US,42.2506,-75.833,78.01,61,20,5.01,few clouds
243,levelland,US,33.5873,-102.378,94.96,22,5,5.95,clear sky
244,baijiantan,CN,45.6333,85.1833,77.7,21,0,13.4,clear sky
245,chapais,CA,49.7834,-74.8492,71.38,40,77,5.73,broken clouds
246,porto novo,BJ,6.4965,2.6036,80.42,87,100,8.77,overcast clouds
247,baruun-urt,MN,46.6806,113.2792,64.6,53,35,0.85,scattered clouds
248,lasa,IT,46.6166,10.7002,81.48,64,61,1.61,broken clouds
249,trairi,BR,-3.2778,-39.2689,83.26,65,41,13.78,scattered clouds
250,biak,ID,-0.9131,122.8766,74.28,92,100,6.31,light rain
251,touros,BR,-5.1989,-35.4608,80.6,72,35,17.0,scattered clouds
252,asau,RO,46.4333,26.4,79.72,67,72,3.71,broken clouds
253,krasnyy yar,RU,46.5331,48.3456,80.53,64,82,8.46,broken clouds
254,ayorou,NE,14.7308,0.9174,100.0,28,11,4.41,light rain
255,galveston,US,29.3669,-94.9669,94.17,66,40,1.99,scattered clouds
256,balikpapan,ID,-1.2675,116.8289,74.12,90,100,3.18,overcast clouds
257,salamiyah,SY,35.0113,37.0532,78.42,46,0,13.4,clear sky
258,shaunavon,CA,49.6501,-108.4181,71.38,48,1,7.25,clear sky
259,esperance,AU,-33.8667,121.9,59.07,85,48,18.99,scattered clouds
260,mumford,GH,5.2618,-0.759,75.16,88,67,10.89,broken clouds
261,dubti,ET,11.7361,41.0853,89.91,40,100,7.29,overcast clouds
262,inhambane,MZ,-23.865,35.3833,67.6,64,0,6.64,clear sky
263,ogaminana,NG,7.5946,6.2248,74.25,92,76,5.26,broken clouds
264,turtas,RU,58.9417,69.1325,64.78,96,44,4.5,light rain
265,koumac,NC,-20.5667,164.2833,69.19,58,48,13.51,scattered clouds
266,pingxiang,CN,27.6167,113.85,80.87,71,100,2.57,overcast clouds
267,naze,JP,28.3667,129.4833,79.72,91,93,8.86,overcast clouds
268,port augusta,AU,-32.5,137.7667,44.02,73,3,5.82,clear sky
269,tilichiki,RU,60.4667,166.1,58.78,83,2,10.4,clear sky
270,samarai,PG,-10.6167,150.6667,76.41,73,100,20.31,overcast clouds
271,henties bay,NA,-22.116,14.2845,58.46,77,0,8.57,clear sky
272,qaqortoq,GL,60.7167,-46.0333,50.25,70,100,3.58,overcast clouds
273,mecca,SA,21.4267,39.8261,92.46,27,96,7.2,light rain
274,yumen,CN,40.2833,97.2,65.48,64,100,5.82,overcast clouds
275,eyl,SO,7.9803,49.8164,82.69,66,88,24.79,overcast clouds
276,nouadhibou,MR,20.931,-17.0347,75.18,73,17,18.41,few clouds
277,champerico,GT,14.3,-91.9167,88.34,76,98,9.42,overcast clouds
278,roebourne,AU,-20.7833,117.1333,64.0,64,36,7.74,scattered clouds
279,porto santo,PT,33.072,-16.3415,73.78,73,40,10.36,scattered clouds
280,chunskiy,RU,56.0815,99.6342,49.35,80,49,2.62,scattered clouds
281,miri,MY,4.4148,114.0089,75.34,94,40,3.44,scattered clouds
282,saint-augustin,CA,51.226,-58.6502,69.91,42,51,7.63,broken clouds
283,ngaoundere,CM,7.3167,13.5833,65.82,92,65,1.16,light rain
284,pochutla,MX,15.7432,-96.4661,83.82,58,99,7.87,overcast clouds
285,tarakan,ID,3.3,117.6333,77.32,82,100,4.99,overcast clouds
286,fairview,US,40.8126,-73.999,90.54,47,0,9.22,clear sky
287,clyde river,CA,70.4692,-68.5914,48.43,71,0,5.75,clear sky
288,boca raton,US,26.3587,-80.0831,94.05,65,40,11.5,scattered clouds
289,sokoni,TZ,-6.4333,39.55,76.05,80,91,14.29,light rain
290,hofn,IS,64.2539,-15.2082,57.22,58,20,13.8,few clouds
291,kalmunai,LK,7.4167,81.8167,81.03,64,60,8.55,broken clouds
292,kupang,ID,-10.1667,123.5833,72.84,75,6,11.03,clear sky
293,guymon,US,36.6828,-101.4816,98.6,25,0,17.27,clear sky
294,faya,SA,18.3851,42.4509,71.71,59,88,3.38,overcast clouds
295,viedma,AR,-40.8135,-62.9967,51.19,68,100,17.6,overcast clouds
296,japura,ID,-0.3167,102.35,74.1,99,95,3.58,overcast clouds
297,lagoa,PT,39.05,-27.9833,70.07,92,100,14.72,overcast clouds
298,port blair,IN,11.6667,92.75,80.74,85,100,17.83,light rain
299,bocaiuva,BR,-17.1078,-43.815,80.31,28,25,11.34,scattered clouds
300,huilong,CN,31.8111,121.655,82.63,83,100,5.64,overcast clouds
301,sakaiminato,JP,35.55,133.2333,78.78,89,75,5.75,broken clouds
302,antofagasta,CL,-23.65,-70.4,61.88,66,40,8.41,scattered clouds
303,belyy yar,RU,53.6039,91.3903,54.86,94,0,4.47,clear sky
304,kitimat,CA,54.0524,-128.6534,57.58,26,100,1.61,overcast clouds
305,port hardy,CA,50.6996,-127.4199,55.58,94,100,0.0,light rain
306,pasinler,TR,39.9803,41.6764,67.19,77,0,6.87,clear sky
307,yar-sale,RU,66.8333,70.8333,56.43,63,100,9.66,overcast clouds
308,hambantota,LK,6.1241,81.1185,79.47,75,33,15.59,light rain
309,torbay,CA,47.6666,-52.7314,72.88,71,20,13.8,few clouds
310,victoria,HK,22.2855,114.1577,86.38,81,99,10.0,overcast clouds
311,shakhtinsk,KZ,49.71,72.5872,69.39,36,10,6.11,clear sky
312,dakar,SN,14.6937,-17.4441,90.48,65,20,6.91,few clouds
313,cabo san lucas,MX,22.8909,-109.9124,96.1,48,20,10.36,few clouds
314,serenje,ZM,-13.2325,30.2352,57.92,69,83,6.2,broken clouds
315,iqaluit,CA,63.7506,-68.5145,46.13,81,75,4.61,broken clouds
316,sisimiut,GL,66.9395,-53.6735,51.87,56,0,20.76,clear sky
317,ilulissat,GL,69.2167,-51.1,53.62,50,20,8.05,few clouds
318,natalicio talavera,PY,-25.6333,-56.3,79.65,54,100,10.04,overcast clouds
319,muravlenko,RU,63.7898,74.523,57.25,71,58,6.2,broken clouds
320,zhigansk,RU,66.7697,123.3711,57.52,98,89,11.56,light rain
321,vila franca do campo,PT,37.7167,-25.4333,75.61,84,89,10.89,overcast clouds
322,broken hill,AU,-31.95,141.4333,41.09,78,0,5.01,clear sky
323,northam,GB,51.0333,-4.2167,67.6,63,3,14.61,clear sky
324,sao felix do xingu,BR,-6.6447,-51.995,95.49,27,30,5.64,scattered clouds
325,koulamoutou,GA,-1.1303,12.4736,81.03,53,34,3.49,scattered clouds
326,dunda,TZ,-8.1167,34.25,67.23,53,18,5.88,few clouds
327,quatre cocos,MU,-20.2078,57.7625,70.09,75,29,15.23,light rain
328,rotifunk,SL,8.2333,-12.6833,77.04,91,98,5.88,moderate rain
329,corinto,GR,37.9407,22.9573,83.41,38,0,1.01,clear sky
330,bowen,AU,-20.0167,148.2333,53.37,55,6,10.42,clear sky
331,camana,PE,-16.6228,-72.7111,62.78,69,47,10.42,scattered clouds
332,akyab,MM,20.15,92.9,81.39,86,56,14.54,broken clouds
333,tucumcari,US,35.1717,-103.725,93.04,26,0,11.5,clear sky
334,hamilton,US,39.1834,-84.5333,86.65,49,40,11.5,scattered clouds
335,severo-kurilsk,RU,50.6789,156.125,52.2,98,85,8.41,overcast clouds
336,gat,IL,31.61,34.7642,80.82,100,0,6.13,clear sky
337,coquimbo,CL,-29.9533,-71.3436,55.13,94,100,10.36,overcast clouds
338,ghanzi,BW,-21.5667,21.7833,58.96,28,0,7.63,clear sky
339,iquitos,PE,-3.7481,-73.2472,87.84,66,75,6.91,broken clouds
340,oranjemund,NA,-28.55,16.4333,58.33,75,0,15.19,clear sky
341,tromso,NO,69.6496,18.957,53.62,87,75,2.3,broken clouds
342,magadi,IN,12.9667,77.2333,73.4,79,67,17.92,broken clouds
343,hovd,MN,48.0056,91.6419,53.76,57,33,3.94,scattered clouds
344,araouane,ML,18.9048,-3.5265,108.82,13,26,8.1,scattered clouds
345,nanortalik,GL,60.1432,-45.2371,48.34,74,100,5.17,overcast clouds
346,hirara,JP,24.8,125.2833,84.43,83,96,15.82,overcast clouds
347,malinovka,BY,53.8579,27.4374,69.3,81,42,9.42,scattered clouds
348,lavrentiya,RU,65.5833,-171.0,48.27,73,100,6.49,overcast clouds
349,kirakira,SB,-10.4544,161.9205,76.89,83,86,4.88,overcast clouds
350,ornskoldsvik,SE,63.2909,18.7153,58.15,82,75,16.11,broken clouds
351,mackay,AU,-21.15,149.2,54.27,65,14,14.65,few clouds
352,road town,VG,18.4167,-64.6167,86.09,74,75,19.57,broken clouds
353,cherskiy,RU,68.75,161.3,41.29,65,44,4.97,scattered clouds
354,baoning,CN,25.3378,110.026,80.46,89,0,0.0,clear sky
355,sonari,IN,27.0667,95.0333,81.39,88,0,2.98,clear sky
356,awjilah,LY,29.1081,21.2869,86.31,31,0,18.75,clear sky
357,tayoltita,MX,24.0833,-105.9333,86.34,48,74,5.14,broken clouds
358,morehead,US,37.2711,-87.1764,88.86,56,40,1.99,scattered clouds
359,poum,NC,-20.2333,164.0167,72.27,54,8,19.53,clear sky
