City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,williston,US,87.04,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
594,wuning,CN,83.07,overcast clouds,29.2589,120.2311,Fu Du Hotel
596,southampton,GB,77.38,clear sky,50.904,-1.4043,Leonardo Royal Southampton Grand Harbour
601,opelousas,US,89.91,broken clouds,30.5335,-92.0815,"Holiday Inn & Suites Opelousas, an IHG Hotel"
604,vung tau,VN,79.32,moderate rain,10.346,107.0843,Seaside Resort
606,villarrica,PY,77.34,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
607,waddan,LY,85.55,clear sky,29.1614,16.139,محل الشريف محمد العايب
608,jalu,LY,87.96,clear sky,29.0331,21.5482,صاحبة الفخامة
609,zhezkazgan,KZ,78.78,clear sky,47.8043,67.7144,Hotel Zumrat
611,porlamar,VE,86.09,clear sky,10.958,-63.8491,Hotel Bella Vista
620,ixtapa,MX,88.23,broken clouds,20.7,-105.2,hotel la terminal
621,manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
622,quang ngai,VN,77.61,broken clouds,15.1167,108.8,Central Hotel
624,varadero,CU,88.56,clear sky,23.1536,-81.2514,Hotel Tuxpan Varadero
631,caravelas,BR,77.16,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
633,udine,IT,87.82,clear sky,46.0619,13.2422,Best Western Hotel Continental
636,port-gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
637,bonthe,SL,79.09,light rain,7.5264,-12.505,Bonthe Holiday Village
638,shiraz,IR,87.24,clear sky,29.6036,52.5388,Shams Hotel
640,san fernando,PH,83.93,broken clouds,15.0286,120.6898,Maharlika Hostel
642,tamandare,BR,79.3,clear sky,-8.7597,-35.1047,Pousada 100 Passos
647,caico,BR,88.38,broken clouds,-6.4583,-37.0978,Pousada Paraíso do Seridó
650,cape coast,GH,75.63,broken clouds,5.1053,-1.2466,Samrit Hotel
652,mindelo,CV,75.81,few clouds,16.8901,-24.9804,Hotel Gaudi
654,santa isabel do rio negro,BR,83.08,overcast clouds,-0.4139,-65.0192,Hotel GSA
656,san francisco,US,80.02,few clouds,37.7749,-122.4194,Edwardian Hotel
